Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
10177,1.1,Ideal,H,SI2,62.0,55.0,4733,6.61,6.65,4.11
16084,1.29,Ideal,H,SI1,62.6,56.0,6424,6.96,6.93,4.35
13421,1.2,Premium,I,SI1,61.1,58.0,5510,6.88,6.8,4.18
20408,1.5,Ideal,F,SI1,60.9,56.0,8770,7.43,7.36,4.5
8910,0.9,Very Good,F,VS2,61.7,57.0,4493,6.17,6.21,3.82
35891,0.32,Ideal,G,IF,61.7,54.0,918,4.39,4.42,2.72
32335,0.3,Very Good,H,IF,62.9,58.0,789,4.26,4.29,2.69
514,0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
27681,2.01,Premium,G,SI2,61.2,57.2,18705,8.08,8.14,4.97
43598,0.31,Ideal,I,VS1,61.2,55.0,507,4.37,4.39,2.68
47610,0.64,Ideal,H,SI1,61.7,55.0,1880,5.54,5.57,3.43
36247,0.41,Ideal,E,VS2,61.6,55.0,935,4.75,4.79,2.94
47547,0.52,Ideal,F,VS1,62.0,57.0,1872,5.16,5.13,3.19
36802,0.3,Premium,G,IF,61.0,62.0,956,4.34,4.32,2.64
2084,1.01,Good,H,SI2,64.1,56.0,3111,6.37,6.3,4.06
26669,2.01,Premium,I,SI1,61.5,60.0,16499,8.12,8.01,4.96
36733,0.32,Ideal,G,IF,60.5,57.0,954,4.42,4.44,2.68
19773,1.51,Ideal,I,SI1,61.1,59.0,8342,7.4,7.37,4.51
20298,2.5,Fair,G,I1,65.1,59.0,8711,8.55,8.39,5.53
52786,0.7,Ideal,G,SI1,61.9,58.0,2567,5.66,5.69,3.51
412,0.34,Ideal,I,VS1,62.0,56.0,555,4.5,4.53,2.8
27598,1.7,Ideal,G,VVS1,61.0,56.0,18445,7.67,7.62,4.66
19938,1.2,Ideal,F,VS2,62.3,55.0,8486,6.83,6.79,4.24
37487,0.35,Premium,E,VS2,62.1,59.0,984,4.49,4.46,2.78
34300,0.36,Very Good,G,VVS2,59.5,56.0,858,4.68,4.73,2.8
49119,0.56,Ideal,G,VVS2,61.6,55.0,2066,5.32,5.35,3.28
33941,0.27,Ideal,H,VS1,62.3,56.0,464,4.15,4.17,2.59
38916,0.33,Ideal,G,IF,61.7,55.0,1052,4.47,4.45,2.75
30529,0.38,Very Good,D,SI1,59.7,60.0,733,4.66,4.69,2.79
39241,0.5,Very Good,H,SI1,62.9,58.0,1068,5.01,5.04,3.16
13229,1.21,Premium,H,VS2,60.8,62.0,5461,6.82,6.78,4.13
40261,0.33,Premium,G,SI1,62.3,59.0,492,4.39,4.44,2.75
29235,0.31,Ideal,D,VS1,61.6,54.0,696,4.33,4.37,2.68
48105,0.5,Premium,G,VVS2,61.6,60.0,1935,5.13,5.1,3.15
47027,0.52,Premium,E,VS1,61.7,58.0,1819,5.17,5.11,3.17
40399,0.38,Ideal,E,VS1,62.2,54.1,1133,4.63,4.65,2.89
23511,1.7,Premium,I,VS2,60.7,59.0,11519,7.63,7.7,4.65
28551,0.3,Premium,H,VS1,61.0,58.0,675,4.31,4.28,2.62
41596,0.24,Ideal,H,VS2,61.1,56.0,391,3.99,4.03,2.45
46600,0.54,Ideal,D,SI1,60.8,57.0,1786,5.31,5.25,3.21
27077,1.5,Premium,F,VVS2,58.8,58.0,17203,7.51,7.43,4.39
28079,0.4,Ideal,J,VVS2,61.9,55.0,662,4.74,4.79,2.95
48422,0.61,Good,F,VS2,63.0,64.2,1971,5.29,5.32,3.34
10193,1.0,Very Good,I,VS2,64.0,54.0,4739,6.28,6.34,4.04
5114,0.72,Ideal,F,VS1,60.5,56.0,3759,5.82,5.85,3.53
12830,1.02,Fair,E,VS2,66.6,57.0,5350,6.09,6.14,4.07
42312,0.41,Ideal,F,VVS1,60.3,56.0,1295,4.8,4.85,2.91
34008,0.3,Ideal,D,VS1,62.0,54.0,848,4.34,4.3,2.68
27813,0.28,Ideal,G,IF,61.3,57.0,650,4.25,4.27,2.6
33133,0.31,Premium,G,VVS1,60.7,58.0,816,4.37,4.4,2.66
45991,0.53,Ideal,F,VS2,61.3,55.0,1723,5.22,5.25,3.21
36141,0.33,Ideal,E,VS2,61.0,57.0,928,4.46,4.43,2.71
43144,0.52,Very Good,H,VS2,63.5,58.0,1389,5.08,5.09,3.23
20606,1.5,Good,I,VS1,63.3,58.0,8910,7.19,7.24,4.57
9680,1.0,Very Good,I,SI1,58.5,61.0,4649,6.51,6.55,3.82
20810,1.91,Premium,G,SI2,61.9,58.0,9038,7.9,7.84,4.87
19828,1.51,Ideal,I,SI1,61.2,60.0,8396,7.39,7.37,4.52
90,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73
17435,1.0,Premium,G,VS1,62.9,60.0,6989,6.36,6.29,3.98
41393,0.42,Premium,F,VVS2,60.3,59.0,1221,4.86,4.83,2.92
