Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
16260,1.01,Ideal,G,VS1,62.0,57.0,6504,6.44,6.36,3.97
24006,1.54,Ideal,H,VVS2,62.6,56.0,12171,7.42,7.35,4.62
12212,1.15,Very Good,E,SI2,63.1,63.0,5193,6.63,6.53,4.15
37919,0.41,Ideal,F,VS1,60.6,57.0,1007,4.79,4.84,2.92
182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23
48862,0.7,Good,I,SI1,63.6,61.0,2034,5.59,5.63,3.57
43750,0.51,Ideal,E,SI1,62.1,55.0,1438,5.09,5.15,3.18
10756,1.01,Good,E,SI1,64.3,59.0,4853,6.34,6.31,4.07
5591,1.17,Good,D,SI2,57.4,59.0,3866,7.02,6.95,4.01
7197,1.01,Very Good,I,SI1,63.6,58.0,4189,6.31,6.36,4.03
46977,0.23,Very Good,F,VVS2,60.3,58.0,530,3.99,4.03,2.42
47461,0.53,Ideal,D,VS2,61.4,56.0,1857,5.2,5.23,3.2
27570,1.73,Premium,G,VVS2,62.6,55.0,18377,7.76,7.66,4.83
34533,0.3,Ideal,F,VVS1,62.1,55.0,868,4.31,4.32,2.68
2484,0.54,Premium,D,VVS1,61.4,57.5,3194,5.25,5.28,3.23
1360,0.9,Fair,J,VS1,65.4,60.0,2964,6.02,5.93,3.91
40834,0.55,Very Good,J,VS2,61.7,54.0,1172,5.29,5.34,3.28
16981,1.04,Premium,F,VS2,61.7,59.0,6782,6.45,6.49,3.99
11698,1.04,Ideal,E,SI2,61.1,56.0,5067,6.55,6.51,3.99
13207,1.11,Ideal,H,SI1,61.6,56.0,5456,6.69,6.65,4.11
33544,0.35,Ideal,E,VS1,61.9,56.0,829,4.51,4.53,2.8
25565,1.62,Very Good,F,VS2,63.2,56.0,14400,7.54,7.43,4.73
28088,0.3,Very Good,D,SI1,63.4,55.0,662,4.26,4.22,2.69
8999,0.93,Ideal,E,SI1,61.9,55.0,4511,6.26,6.31,3.89
31364,0.33,Ideal,G,VVS2,60.4,57.0,761,4.48,4.52,2.72
9021,1.0,Premium,H,VS2,58.9,56.0,4514,6.53,6.51,3.84
48369,0.56,Ideal,D,VS2,62.1,57.0,1963,5.25,5.28,3.27
34257,0.37,Ideal,D,VVS2,62.4,56.0,857,4.56,4.64,2.87
52002,0.72,Very Good,H,VS2,62.5,58.0,2444,5.67,5.73,3.56
51391,1.16,Premium,H,I1,61.7,62.0,2368,6.68,6.64,4.11
4238,1.0,Very Good,H,SI2,59.1,62.0,3575,6.47,6.5,3.83
19282,1.23,Premium,H,VVS2,62.8,56.0,8004,6.9,6.82,4.31
4022,0.93,Ideal,G,SI1,60.9,57.0,3521,6.29,6.25,3.82
23167,1.5,Ideal,G,SI1,62.0,56.0,11180,7.33,7.29,4.53
14039,1.02,Good,G,VS1,57.3,59.0,5706,6.71,6.65,3.83
42178,0.43,Ideal,G,IF,61.7,57.0,1286,4.83,4.86,2.99
5298,0.71,Ideal,D,VS1,62.1,57.0,3801,5.7,5.73,3.55
27333,1.76,Very Good,G,VVS2,61.1,59.0,17888,7.81,7.9,4.8
